dateTime,usagekW,generationkW
2022-03-20 10:00:00,3.308380278,3.872373889
2022-03-20 09:00:00,3.327065000,2.020322778
2022-03-20 08:00:00,0.444498056,0.374095000
2022-03-20 07:00:00,0.276093611,0.005328611
2022-03-20 06:00:00,0.280507222,-0.009681111
2022-03-20 05:00:00,0.461038056,-0.009663333
2022-03-20 04:00:00,0.700297778,-0.009653611
2022-03-20 03:00:00,0.513718611,-0.009655278
2022-03-20 02:00:00,0.574067500,-0.009644167
2022-03-20 01:00:00,0.662521111,-0.009675000
2022-03-20 00:00:00,0.949630278,-0.009063056
2022-03-19 23:00:00,0.874997500,-0.006860278
2022-03-19 22:00:00,1.013731667,-0.007072500
2022-03-19 21:00:00,1.007210000,-0.007010556
2022-03-19 20:00:00,1.361156111,-0.008486944
2022-03-19 19:00:00,1.685199444,0.092397222
2022-03-19 18:00:00,1.128388889,1.375703611
2022-03-19 17:00:00,2.500125000,3.723830000
2022-03-19 16:00:00,2.432663611,5.339823333
2022-03-19 15:00:00,2.076431667,6.345524444
2022-03-19 14:00:00,1.198300000,6.832778889
2022-03-19 13:00:00,2.036530000,6.727072222
2022-03-19 12:00:00,1.525628611,6.049086667
2022-03-19 11:00:00,1.732935000,5.152605556
2022-03-19 10:00:00,1.930654167,3.347076944
2022-03-19 09:00:00,1.976245833,1.760386389
2022-03-19 08:00:00,2.005748611,0.359679167
2022-03-19 07:00:00,1.672268611,-0.005262500
2022-03-19 06:00:00,0.741031389,-0.009699722
2022-03-19 05:00:00,0.658088611,-0.009676944
2022-03-19 04:00:00,0.523846944,-0.009670833
2022-03-19 03:00:00,0.473355556,-0.009713333
2022-03-19 02:00:00,0.722164444,-0.009780556
2022-03-19 01:00:00,0.657903333,-0.009790000
2022-03-19 00:00:00,0.907593611,-0.009823611
2022-03-18 23:00:00,0.831793889,-0.009827778
2022-03-18 22:00:00,0.861917222,-0.009858333
2022-03-18 21:00:00,0.871952222,-0.007472500
2022-03-18 20:00:00,1.270914722,-0.008733056
2022-03-18 19:00:00,1.168020833,0.095820000
2022-03-18 18:00:00,1.047076389,1.362043889
2022-03-18 17:00:00,1.419830000,3.781844167
2022-03-18 16:00:00,1.426399444,5.489095000
2022-03-18 15:00:00,0.714659722,6.614730000
2022-03-18 14:00:00,0.600698056,7.101402778
2022-03-18 13:00:00,0.687488056,7.021401111
2022-03-18 12:00:00,1.001670833,6.385079444
2022-03-18 11:00:00,0.850609167,5.401364444
2022-03-18 10:00:00,1.305948333,3.939457778
2022-03-18 09:00:00,1.644884722,1.929047778
2022-03-18 08:00:00,1.199212778,0.295530556
2022-03-18 07:00:00,2.252247500,0.000310000
2022-03-18 06:00:00,0.462220833,-0.009683056
2022-03-18 05:00:00,0.464275000,-0.009658611
2022-03-18 04:00:00,0.466583889,-0.009649167
2022-03-18 03:00:00,0.466471389,-0.009643889
2022-03-18 02:00:00,0.468620278,-0.009781667
2022-03-18 01:00:00,0.476461667,-0.009803056
2022-03-18 00:00:00,0.486039167,-0.009753889
2022-03-17 23:00:00,0.471652778,-0.009779167
